VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
exmpl-kestrel-0041,poweredOn,False,False,green,exmplkestrel0041.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,5,,32768,0,1,5,921600,False,,normal,,TRUE,,10.20.6.31,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,4194474,2097237,2097236,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3130/exmpl-kestrel-0041.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3130/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,VMware ESXi 8.0 (64-bit),VMware ESXi 8.0 (64-bit),IDLE,,vm-4010,58498914-f55f-04cf-9d0f-750c2f6e3306,e93f4397-f2c3-7766-caa1-1525eaad76be,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0105,poweredOn,False,False,green,exmplkestrel0105.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,9,,33792,0,1,5,921600,False,,normal,,TRUE,,10.20.6.34,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,4325563,2162781,2162780,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3131/exmpl-kestrel-0105.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3131/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Cisco Secure Firewall (64-bit),Cisco Secure Firewall (64-bit),IDLE,,vm-4011,9e3d18c4-353e-3c5f-4e34-ae3d810a345c,68edc412-969a-eb0b-6779-b7520cf65c19,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0144,poweredOff,False,False,green,exmplkestrel0144.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,9,,67584,0,1,5,921600,False,,normal,,TRUE,,10.20.7.37,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,8650956,4325478,4325477,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3132/exmpl-kestrel-0144.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3132/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,F5 BIG-IP VE (64-bit),F5 BIG-IP VE (64-bit),IDLE,,vm-4012,777b19c3-2e78-fa48-5020-c521c5009eed,d7822258-616e-76a2-c77b-f5260e1796ca,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0168,poweredOn,False,False,green,exmplkestrel0168.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,17,,134144,0,1,5,921600,False,,normal,,TRUE,,10.20.7.40,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,17170653,8585326,8585325,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3133/exmpl-kestrel-0168.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3133/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Palo Alto Networks VM-300 (64-bit),Palo Alto Networks VM-300 (64-bit),IDLE,,vm-4013,ff403550-d877-c470-28ce-726f55401c75,24e44620-4a2b-7cba-9c33-aacf7017202e,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0076,poweredOn,False,False,green,exmplkestrel0076.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,4,,8192,0,1,5,921600,False,,normal,,TRUE,,10.20.8.43,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,1048814,524407,524406,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3134/exmpl-kestrel-0076.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3134/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Other 3.x or later Linux (64-bit),Other 3.x or later Linux (64-bit),IDLE,,vm-4014,28f56b01-425c-b77c-0e0c-0f80cafaff9d,90fd7613-7f03-6fb2-0db5-87ca13fdc678,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0053,poweredOff,False,False,green,exmplkestrel0053.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,4,,8192,0,1,5,921600,False,,normal,,TRUE,,10.20.8.46,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,1048831,524415,524414,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3135/exmpl-kestrel-0053.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3135/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Microsoft Windows Server 2003 (32-bit),,IDLE,,vm-4015,b0408bba-e492-340a-09aa-f5097ade870c,ed8670a7-0845-60c5-8761-9fa115b5da4f,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0064,poweredOn,False,False,green,exmplkestrel0064.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,6,,17408,0,1,5,921600,False,,normal,,TRUE,,10.20.9.49,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,2228496,1114248,1114247,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3136/exmpl-kestrel-0064.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3136/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Microsoft Windows 7 (32-bit),,IDLE,,vm-4016,e7a77ba7-aacb-9548-5a1a-51e5236ead38,655a7616-efa2-49f2-c5c0-0bb0e418463f,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0108,poweredOn,False,False,green,exmplkestrel0108.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,6,,34816,0,1,5,921600,False,,normal,,TRUE,,10.20.9.52,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,4456737,2228368,2228367,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3137/exmpl-kestrel-0108.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3137/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Debian GNU/Linux 5.0 (32-bit),,IDLE,,vm-4017,fc042c2a-54e7-fe56-31bb-ce4ec3c4102d,9a6fa338-915b-1311-fb2a-0a434912d27d,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0052,poweredOff,False,False,green,exmplkestrel0052.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,10,,35840,0,1,5,921600,False,,normal,,TRUE,,10.20.10.55,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,4587826,2293913,2293912,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3138/exmpl-kestrel-0052.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3138/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,CentOS 6.5 (32-bit),,IDLE,,vm-4018,b1048cd4-6027-0f7a-861a-88f0558f4b53,1e2f02ab-5701-4e11-cebf-2aa28f8501f0,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
exmpl-kestrel-0017,poweredOn,False,False,green,exmplkestrel0017.exmpl.oci,connected,notRunning,gray,False,,,,0,2025/10/16 19:33:43,2026/03/10 16:12:17,10,,69632,0,1,5,921600,False,,normal,,TRUE,,10.20.10.58,workload-1,,,,,,,,1,8192,/exmpl-dc01/AMD/Resources/Example,group-v2068,,,,notConfigured,,gray,-1,-1,,8913219,4456609,4456608,medium,powerOff,vmMonitoringOnly,,,False,0,10000,False,False,False,True,efi,20,none,never,,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3139/exmpl-kestrel-0017.vmx,[Exmpl-vsan-DS] 6578616d-706c-652d-7669-6e666f2d3139/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,[AMD-vsanDatastore] 6c2cf168-dbb4-23f6-9197-b83fd2dc2a84/,,oci-w01dc,AMD,esxi-amd-3.example.vcn.exmpl.local,Oracle Linux 6.4 (32-bit),,IDLE,,vm-4019,ca091b30-d868-37e7-56ce-940ca58bda41,9b3155cc-e957-5bd5-776f-38064ecf63ba,VMware vCenter Server 8.0.3 build-24853646,8.0.3.0,vcenter.example.exmpl.local,00000000-0000-4000-8000-000000000001
